"filename", "language", "JSON with Comments", "CSS", "JSON", "TypeScript", "HTML", "XML", "JavaScript", "Docker", "Markdown", "comment", "blank", "total"
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\inicio\inicio.component.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\login\login.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\login\login.component.html", "HTML", 0, 0, 0, 0, 55, 0, 0, 0, 0, 7, 22, 84
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\login\login.component.ts", "TypeScript", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 10, 66
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\navbar\navbar.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\navbar\navbar.component.html", "HTML", 0, 0, 0, 0, 161, 0, 0, 0, 0, 34, 61, 256
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\navbar\navbar.component.ts", "TypeScript", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 18, 122
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\producto\producto.component.css", "CSS", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\producto\producto.component.html", "HTML", 0, 0, 0, 0, 199, 0, 0, 0, 0, 39, 76, 314
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\producto\producto.component.ts", "TypeScript", 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 30, 171
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\registro\registro.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\registro\registro.component.html", "HTML", 0, 0, 0, 0, 74, 0, 0, 0, 0, 10, 22, 106
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\registro\registro.component.ts", "TypeScript", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 7, 62
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\tienda\tienda.component.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\tienda\tienda.component.html", "HTML", 0, 0, 0, 0, 195, 0, 0, 0, 0, 29, 62, 286
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\tienda\tienda.component.ts", "TypeScript", 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 34, 202
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\verificacion\verificacion.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\verificacion\verificacion.component.html", "HTML", 0, 0, 0, 0, 28, 0, 0, 0, 0, 4, 8, 40
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\components\verificacion\verificacion.component.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 10, 44
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\services\GLOBAL.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 0, 5
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\services\cliente.service.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 9, 46
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\app\services\visitante.service.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 11, 56
"c:\Users\HP\Documents\Ecommer\EcommerceTienda\src\assets\css\flickity.css", "CSS", 0, 103, 0, 0, 0, 0, 0, 0, 0, 10, 25, 138
